,rank,artist,artist_list,song,ratings,hits,type,song_link,artist_link,star_count
182,183,Sam Smith,['Sam Smith'],Too Good At Goodbyes,"5,031","5,147,968",chords,https://tabs.ultimate-guitar.com/tab/sam-smith/too-good-at-goodbyes-chords-2142281,https://www.ultimate-guitar.com/artist/sam_smith_41350,5.0
183,184,Linkin Park,['Linkin Park'],Numb,"5,153","5,138,523",chords,https://tabs.ultimate-guitar.com/tab/linkin-park/numb-chords-90873,https://www.ultimate-guitar.com/artist/linkin_park_1025,5.0
184,185,Johnny Cash,['Johnny Cash'],Ring Of Fire,"8,682","5,119,121",chords,https://tabs.ultimate-guitar.com/tab/johnny-cash/ring-of-fire-chords-63352,https://www.ultimate-guitar.com/artist/johnny_cash_10001,5.0
185,186,The Beatles,['The Beatles'],Blackbird (ver 2),"3,058","5,095,154",tab,https://tabs.ultimate-guitar.com/tab/the-beatles/blackbird-tabs-56997,https://www.ultimate-guitar.com/artist/the_beatles_1916,5.0
186,187,MAGIC!,['MAGIC!'],Rude (ver 2),"2,928","5,053,732",chords,https://tabs.ultimate-guitar.com/tab/magic/rude-chords-1445813,https://www.ultimate-guitar.com/artist/magic_68210,5.0
187,188,Bob Marley,['Bob Marley'],Three Little Birds,"6,869","5,048,516",chords,https://tabs.ultimate-guitar.com/tab/bob-marley/three-little-birds-chords-166605,https://www.ultimate-guitar.com/artist/bob_marley_9676,5.0
188,189,Adele,['Adele'],Rolling In The Deep (ver 4),"4,071","5,035,974",chords,https://tabs.ultimate-guitar.com/tab/adele/rolling-in-the-deep-chords-1028320,https://www.ultimate-guitar.com/artist/adele_20519,5.0
189,190,Guns N' Roses,"[""Guns N' Roses""]",Sweet Child O Mine,776,"5,008,299",tab,https://tabs.ultimate-guitar.com/tab/guns-n-roses/sweet-child-o-mine-tabs-12657,https://www.ultimate-guitar.com/artist/guns_n_roses_1367,4.5
190,191,Bright Eyes,['Bright Eyes'],First Day Of My Life,"7,600","4,982,455",chords,https://tabs.ultimate-guitar.com/tab/bright-eyes/first-day-of-my-life-chords-154240,https://www.ultimate-guitar.com/artist/bright_eyes_2378,5.0
191,192,Ben E. King,['Ben E. King'],Stand By Me (ver 7),"7,184","4,965,943",chords,https://tabs.ultimate-guitar.com/tab/ben-e-king/stand-by-me-chords-1724608,https://www.ultimate-guitar.com/artist/ben_e_king_10676,5.0
192,193,Darius Rucker,['Darius Rucker'],Wagon Wheel,"13,506","4,957,981",chords,https://tabs.ultimate-guitar.com/tab/darius-rucker/wagon-wheel-chords-1215756,https://www.ultimate-guitar.com/artist/darius_rucker_11235,5.0
193,194,Grover Washington Jr. & Bill Withers,"['Grover Washington Jr.', 'Bill Withers']",Just The Two Of Us,"5,694","4,932,170",chords,https://tabs.ultimate-guitar.com/tab/grover-washington-jr-/just-the-two-of-us-chords-663141,https://www.ultimate-guitar.com/artist/grover_washington_jr__22032,5.0
194,195,Joseph Vincent,['Joseph Vincent'],Cant Take My Eyes Off You,"2,805","4,911,723",chords,https://tabs.ultimate-guitar.com/tab/joseph-vincent/cant-take-my-eyes-off-you-chords-1883548,https://www.ultimate-guitar.com/artist/joseph_vincent_34227,5.0
195,196,Sia,['Sia'],Chandelier (ver 3),"4,656","4,882,356",chords,https://tabs.ultimate-guitar.com/tab/sia/chandelier-chords-1476462,https://www.ultimate-guitar.com/artist/sia_9670,5.0
196,197,Misc Christmas,['Misc Christmas'],Jingle Bells,"3,919","4,879,299",chords,https://tabs.ultimate-guitar.com/tab/misc-christmas/jingle-bells-chords-273336,https://www.ultimate-guitar.com/artist/misc_christmas_933,5.0
197,198,America,['America'],A Horse With No Name,"6,979","4,845,166",chords,https://tabs.ultimate-guitar.com/tab/america/a-horse-with-no-name-chords-59609,https://www.ultimate-guitar.com/artist/america_2386,5.0
198,199,Red Hot Chili Peppers,['Red Hot Chili Peppers'],Californication,611,"4,797,670",tab,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/californication-tabs-202766,https://www.ultimate-guitar.com/artist/red_hot_chili_peppers_554,4.5
199,200,Bruno Mars,['Bruno Mars'],Count On Me (ver 3),"6,251","4,781,391",chords,https://tabs.ultimate-guitar.com/tab/bruno-mars/count-on-me-chords-958496,https://www.ultimate-guitar.com/artist/bruno_mars_28280,5.0
